Trade #,Type,Date/Time,Profit,Cum. Profit,Drawdown
1,Long,2026-06-01 09:35:00,$120.00,$120.00,$0.00
2,Short,2026-06-01 10:10:00,-$60.00,$60.00,$60.00
3,Long,2026-06-01 11:15:00,$180.00,$240.00,$0.00
4,Long,2026-06-02 09:40:00,-$90.00,$150.00,$90.00
5,Short,2026-06-02 10:20:00,$220.00,$370.00,$0.00
6,Long,2026-06-02 14:30:00,-$50.00,$320.00,$50.00
7,Short,2026-06-03 09:50:00,$310.00,$630.00,$0.00
8,Long,2026-06-03 13:00:00,-$130.00,$500.00,$130.00
9,Short,2026-06-04 09:45:00,$260.00,$760.00,$0.00
10,Long,2026-06-04 12:00:00,$75.00,$835.00,$0.00
